AppID;Name;Release date;Estimated owners;Peak CCU;Required age;Price;DLC count;Supported languages;Website;Windows;Mac;Linux;Metacritic score;Positive;Negative;Achievements;Recommendations;Notes;Average playtime forever;Developers;Tags
575800;Arizona Rose and the Pharaohs' Riddles;18.01.2017;0 - 20000;0;0;9.99;0;['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch'];;1;1;0;0;6;3;20;0;;0;Anawiki Games;Indie,Casual,Strategy,Puzzle
1968280;AvatarShop;31.05.2022;0 - 20000;1;0;64.99;0;['English', 'Japanese'];;1;0;0;0;0;0;0;0;Include female bodies in underwear as the base for creating avatars. Include zombies and bleeding expressions as a base of material that can be used to create games, videos, and other contents.;0;Suzuki Cecil;
634120;Inmates;05.10.2017;20000 - 50000;1;0;9.99;0;['English', 'Russian', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese'];http://inmatesgame.com/;1;0;0;0;155;103;12;204;;0;Davit Andreasyan;Adventure,Indie,Walking Simulator,Horror,First-Person,Psychological,Story Rich,Atmospheric,Philosophical,Puzzle,Visual Novel
1843230;Win by Definition;17.01.2022;0 - 20000;0;0;8.99;0;['Japanese'];;1;0;0;0;2;0;0;0;;0;Tooru Akagi;Strategy,Card Game,Mystery,Puzzle,Strategy RPG,Solitaire,Card Battler,2D,Retro,Deckbuilding,Singleplayer,Procedural Generation
1434550;Zeltrus;11.11.2020;0 - 20000;0;0;1.99;0;['English'];https://zeltrus.github.io/;1;0;0;0;1;0;9;0;;0;2>,Dexter.CO;Adventure,2D Platformer,Puzzle-Platformer,Sci-fi,Pixel Graphics,Singleplayer,2D,Indie,Platformer,Puzzle
316260;Disney Universe;06.10.2014;20000 - 50000;2;0;19.99;0;['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Danish', 'Dutch', 'Norwegian', 'Polish', 'Portuguese - Brazil', 'Russian', 'Swedish'];http://games.disney.com/disney-universe-video-game;1;0;0;0;197;40;0;174;;301;Eurocom;Family Friendly,Adventure,Cartoony,Action,Co-op,Multiplayer,Anime,Singleplayer,Horror,Gore,Cute,Female Protagonist,Illuminati,Dating Sim
604040;Legion Tale;20.09.2017;50000 - 100000;0;0;4.99;0;['English'];;1;0;0;0;10;3;10;0;;333;Maulidan Games;Tactical RPG,Strategy,Turn-Based Tactics,Casual,Turn-Based,Turn-Based Strategy,Strategy RPG,RPG,2D,Turn-Based Combat,Action,Pixel Graphics,Medieval,Tactical,Class-Based,War,Adventure,Retro,Singleplayer,Indie
1050170;Terramancer;24.02.2020;20000 - 50000;0;0;1.99;0;['English', 'French'];http://fractalis.ca/;1;0;0;0;1;1;0;0;;0;Fractalis;Strategy,Indie,Casual,Puzzle,Card Game,Multiplayer
1546120;Void Explorer;21.06.2021;0 - 20000;0;0;0.99;0;['English'];;1;0;1;0;2;0;0;0;;0;Theodore King,Dylan Harrison,Alex Stahly,Faith King,Camdym Charles;Action,Adventure,2D Fighter,2D Platformer,2D,Cute,Pixel Graphics,Medieval,Parkour,Indie,Combat,PvE,Singleplayer
762850;Cubit;06.02.2019;0 - 20000;0;0;0.99;0;['English'];;1;0;0;0;5;4;0;0;;0;S.A. DigiWorks;Casual
1221560;Just Chatting;13.02.2020;0 - 20000;0;0;0;1;['English'];;1;0;0;0;0;0;0;0;All characters in the story are adult (21+) humans. Some images include partial or full nudity (uncensored) with poses that could be considered erotic. Characters discuss sexuality and sexual activities.;0;SunshineOvercast;
1939600;Sillage;20.04.2022;0 - 20000;0;0;5.99;0;['English', 'French'];;1;0;0;0;4;1;13;0;;0;Vludos;Action,Adventure,RPG,Action-Adventure,Action RPG,Exploration,Third Person,Fantasy,Combat,Early Access,Indie,Crafting,Open World,Female Protagonist,Singleplayer
1652800;Entangled;03.09.2021;0 - 0;0;0;0;0;['English'];https://tiltfactor.org/game/entangled/;1;0;0;0;0;0;0;0;;0;Tiltfactor;
437530;A Blind Legend;07.04.2016;20000 - 50000;0;0;6.99;1;['English', 'French'];https://www.ablindlegend.com/;1;1;0;0;180;47;10;125;;0;Dowino;Adventure,Action,Indie
1583650;Beautiful Girls;05.04.2021;0 - 20000;1;0;0.99;0;['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Danish', 'Traditional Chinese', 'Simplified Chinese', 'Korean', 'Dutch', 'Polish', 'Portuguese', 'Russian', 'Turkish', 'Japanese'];;1;0;0;0;0;0;100;0;-Nudity or sexual content -Not suitable for watching at work -Not suitable for all ages -All characters in the game are over 18 years old;0;SimpleDes;
526130;Sky Sanctuary;31.07.2020;0 - 20000;0;0;1.79;0;['English', 'French', 'Simplified Chinese', 'Korean', 'Japanese', 'Russian'];https://www.sky-sanctuary.com;1;0;0;0;40;5;74;0;;0;Glitchr Studio;Action,Sports,Archery,Arcade,Family Friendly,Ninja,Indie,Swordplay,Competitive,Exploration,FPS,Colorful,Stylized,Relaxing,Nature,Robots,Martial Arts,Tutorial,Singleplayer,Rhythm,VR Only
